                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1887,                0.75702,                 1.0949,                0.56781,                0.41603,                0.45166,                0.29496,                 1.1474,                0.69935,                 1.0814,               0.006535,               0.006535,               0.006535
                     37,                 1.1806,                0.74941,                 1.0938,                0.54405,                  0.434,                0.45011,                0.29124,                 1.1448,                0.69814,                 1.0804,               0.006436,               0.006436,               0.006436
                     38,                 1.1808,                0.74693,                 1.0916,                0.58815,                0.41763,                0.45342,                 0.2939,                 1.1447,                0.69594,                  1.083,               0.006337,               0.006337,               0.006337
                     39,                 1.1768,                0.74338,                  1.091,                0.53937,                0.43793,                0.45956,                0.30035,                  1.136,                0.68955,                 1.0777,               0.006238,               0.006238,               0.006238
                     40,                 1.1826,                 0.7483,                  1.091,                0.52288,                0.46211,                0.46539,                0.30555,                 1.1363,                0.68722,                 1.0743,               0.006139,               0.006139,               0.006139
                     41,                 1.1687,                0.73713,                 1.0868,                0.53855,                0.45236,                 0.4646,                0.30662,                 1.1314,                0.68408,                 1.0753,                0.00604,                0.00604,                0.00604
                     42,                  1.171,                0.73615,                 1.0888,                0.57537,                0.42187,                0.46655,                0.30972,                 1.1304,                0.68542,                 1.0735,               0.005941,               0.005941,               0.005941
                     43,                 1.1693,                0.73317,                 1.0831,                 0.5563,                0.43634,                0.47089,                0.30889,                 1.1315,                0.67999,                 1.0726,               0.005842,               0.005842,               0.005842
                     44,                 1.1688,                0.73529,                 1.0825,                0.59337,                0.43273,                0.47989,                0.31637,                 1.1286,                0.67868,                 1.0705,               0.005743,               0.005743,               0.005743
                     45,                 1.1622,                0.72958,                 1.0816,                0.59944,                 0.4287,                0.47935,                0.31802,                 1.1229,                0.67618,                 1.0688,               0.005644,               0.005644,               0.005644
                     46,                 1.1565,                0.72286,                  1.075,                0.56208,                0.45271,                0.47834,                0.31402,                  1.122,                0.67396,                 1.0674,               0.005545,               0.005545,               0.005545
                     47,                 1.1567,                0.72765,                 1.0767,                0.60198,                0.43542,                0.48722,                0.32204,                 1.1211,                 0.6678,                 1.0692,               0.005446,               0.005446,               0.005446
                     48,                  1.153,                0.72358,                 1.0744,                 0.5789,                0.45168,                0.48244,                0.31984,                 1.1212,                 0.6706,                 1.0657,               0.005347,               0.005347,               0.005347
                     49,                 1.1541,                0.72189,                 1.0751,                0.60101,                0.45065,                0.48879,                0.32538,                 1.1155,                0.66661,                 1.0648,               0.005248,               0.005248,               0.005248
                     50,                 1.1494,                0.70903,                 1.0709,                0.58999,                0.44487,                 0.4868,                0.32452,                 1.1152,                0.66367,                  1.064,               0.005149,               0.005149,               0.005149
